"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Parus","Team BDS","Support",4,"50%","75%",3,15,36,2.6,"73.6%","5.7%","28.3%","25%",20,144,-1,1,"2.1%",141,"6.6%","5.0%",305,109,"9.0%",0,2.16,0.53,0.4
"Poby","Fnatic","Middle",9,"67%","67%",27,13,49,5.8,"69.7%","24.8%","13.8%","0%",50,30,5.4,10,"29.1%",563,"22.3%","22.7%",4975,311,"24.8%",0,0.44,0.17,0.15
"Razork","Fnatic","Jungle",9,"67%","33%",26,22,60,3.9,"78.9%","23.9%","23.4%","78%",216,87,0.3,6.6,"16.2%",470,"18.7%","19.4%",2499,238,"19.2%",0,0.3,0.21,0.46
"Rooster","Team BDS","Top",4,"50%","25%",13,8,27,5,"75.5%","24.5%","15.1%","0%",362,386,13.3,8.7,"23.5%",659,"29.3%","26.6%",5698,292,"24.4%",0,0.43,0.13,0.18
"Sheo","Team Heretics","Jungle",8,"25%","75%",14,23,34,2.1,"72.7%","21.2%","20.9%","25%",-133,85,4.3,6.9,"18.3%",396,"18.8%","19.8%",1155,218,"19.8%",3,0.31,0.21,0.38
"Skeanz","SK Gaming","Jungle",7,"29%","57%",20,15,31,3.4,"77.3%","30.3%","16.1%","43%",-126,-49,-1.7,6.6,"17.4%",299,"15.2%","15.0%",2470,229,"19.8%",1,0.26,0.26,0.3
"SkewMond","G2 Esports","Jungle",4,"100%","50%",19,4,35,13.5,"75.0%","26.4%","25.0%","50%",110,202,2.5,7.4,"21.3%",581,"19.3%","20.6%",2796,281,"20.6%",0,0.34,0.25,0.39
"Stend","Team Heretics","Support",8,"25%","13%",5,17,49,3.2,"81.8%","7.6%","15.5%","25%",-31,49,4.5,1.3,"2.4%",168,"8.4%","7.5%",349,108,"9.6%",0,1.94,0.48,0.58
"Supa","Movistar KOI","ADC",8,"63%","63%",43,13,33,5.8,"73.1%","41.3%","11.3%","13%",-59,206,2.9,10.2,"31.0%",817,"28.8%","31.6%",4576,343,"28.2%",0,0.34,0.06,0.3
"Targamas","Karmine Corp","Support",8,"75%","75%",6,19,95,5.3,"79.5%","4.7%","26.0%","38%",154,72,0.5,1.2,"2.5%",184,"6.9%","5.5%",496,125,"9.9%",0,1.69,0.43,0.55
"Thayger","Natus Vincere","Jungle",6,"0%","67%",10,23,23,1.4,"73.3%","22.2%","20.2%","33%",99,18,3.3,6.2,"17.1%",343,"16.1%","16.9%",476,193,"18.9%",2,0.24,0.19,0.38
"Upset","Fnatic","ADC",9,"67%","56%",37,9,46,9.2,"76.1%","33.9%","9.6%","67%",387,234,7,10.1,"31.4%",664,"25.9%","27.4%",5100,340,"27.3%",0,0.46,0.12,0.26
"Vladi","Karmine Corp","Middle",8,"75%","25%",24,14,58,5.9,"64.6%","18.9%","19.2%","0%",-54,-70,-1.4,8.6,"26.7%",732,"28.4%","29.1%",4853,279,"22.3%",0,0.45,0.17,0.19
"Yike","Karmine Corp","Jungle",8,"75%","75%",28,23,67,4.1,"74.8%","22.0%","31.5%","25%",48,42,-2.1,5.8,"15.4%",368,"14.3%","15.4%",2145,230,"18.5%",1,0.3,0.28,0.33
