"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Light","Weibo Gaming","ADC",24,"42%","54%",92,55,148,4.4,"70.4%","27.0%","15.9%",,,,,8.9,,735,"27.2%",,,291,"24.9%",,0.37,0.06,0.29
"LP","LNG Esports","ADC",7,"14%","43%",15,31,26,1.3,"62.1%","22.7%","23.8%",,,,,9.1,,585,"26.5%",,,258,"24.7%",,0.38,0.07,0.33
"Meiko","Invictus Gaming","Support",17,"65%","53%",13,63,242,4,"76.6%","3.9%","23.1%",,,,,1,,206,"6.7%",,,123,"10.0%",,1.88,0.5,0.47
"milkyway","FunPlus Phoenix","Jungle",9,"22%","56%",16,30,49,2.2,"77.4%","19.0%","23.3%",,,,,6.6,,315,"14.9%",,,208,"20.0%",,0.29,0.24,0.41
"Monki","Team WE","Jungle",28,"39%","61%",100,92,191,3.2,"77.2%","26.5%","20.4%",,,,,6.9,,439,"16.6%",,,252,"21.7%",,0.26,0.2,0.34
"naiyou","Ninjas in Pyjamas","Jungle",23,"70%","30%",112,52,192,5.8,"77.4%","28.5%","19.1%",,,,,7,,418,"16.3%",,,270,"21.1%",,0.42,0.33,0.5
"Niket","Ninjas in Pyjamas","Support",23,"70%","65%",6,64,307,4.9,"79.6%","1.5%","23.5%",,,,,1.1,,192,"7.3%",,,123,"9.6%",,1.94,0.58,0.42
"ON","Bilibili Gaming","Support",24,"71%","33%",23,103,353,3.7,"76.6%","4.7%","30.5%",,,,,1.1,,234,"8.0%",,,134,"10.2%",,2.06,0.64,0.5
"OvO","LNG Esports","Support",5,"60%","20%",2,22,68,3.2,"74.5%","2.1%","28.6%",,,,,1,,173,"6.2%",,,105,"8.5%",,2,0.73,0.28
"Parukia","EDward Gaming","Support",16,"81%","38%",17,61,193,3.4,"75.5%","6.1%","37.2%",,,,,0.9,,183,"7.0%",,,124,"9.5%",,2.06,0.53,0.37
"Peyz","JD Gaming","ADC",21,"38%","52%",82,53,93,3.3,"72.0%","33.7%","16.6%",,,,,9.2,,730,"30.1%",,,294,"26.2%",,0.42,0.11,0.33
"Rookie","Invictus Gaming","Middle",17,"65%","53%",81,46,160,5.2,"72.4%","24.3%","16.8%",,,,,8.2,,811,"25.8%",,,289,"23.3%",,0.44,0.22,0.26
"Saber","Ultra Prime","Middle",19,"37%","58%",42,48,94,2.8,"66.0%","20.4%","18.0%",,,,,8.8,,523,"23.8%",,,260,"23.3%",,0.44,0.19,0.23
"sasi","LGD Gaming","Top",17,"41%","18%",47,51,70,2.3,"55.2%","22.2%","17.8%",,,,,8,,535,"22.4%",,,249,"21.6%",,0.31,0.08,0.12
"Sav1or","LGD Gaming","ADC",17,"41%","47%",64,49,91,3.2,"73.1%","30.2%","17.1%",,,,,9.4,,689,"29.1%",,,309,"26.8%",,0.43,0.14,0.29
"Scout","JD Gaming","Middle",21,"38%","43%",54,62,122,2.8,"72.4%","22.2%","19.4%",,,,,8.2,,677,"28.2%",,,253,"22.7%",,0.39,0.19,0.22
"SeTab","ThunderTalk Gaming","Middle",18,"39%","22%",48,67,116,2.4,"69.8%","20.4%","25.1%",,,,,8.3,,579,"24.9%",,,261,"22.4%",,0.42,0.25,0.33
"Shad0w","Bilibili Gaming","Jungle",24,"71%","58%",96,76,282,5,"77.0%","19.6%","22.5%",,,,,6.6,,511,"17.0%",,,255,"19.4%",,0.36,0.3,0.38
"Shanks","Anyone's Legend","Middle",24,"54%","54%",98,71,175,3.8,"71.5%","25.7%","19.1%",,,,,8.5,,708,"24.5%",,,279,"23.0%",,0.38,0.14,0.25
"sheer","FunPlus Phoenix","Top",21,"24%","38%",41,66,87,1.9,"59.8%","19.2%","18.8%",,,,,7.4,,489,"22.0%",,,216,"20.7%",,0.41,0.15,0.1
"Solokill","Ninjas in Pyjamas","Top",23,"70%","35%",91,48,124,4.5,"54.7%","23.2%","17.6%",,,,,7.8,,499,"19.6%",,,264,"20.9%",,0.42,0.19,0.13
"Taeyoon","Team WE","ADC",28,"39%","32%",111,86,163,3.2,"72.7%","29.4%","19.1%",,,,,9,,746,"29.1%",,,296,"25.7%",,0.45,0.18,0.44
"Tarzan","Anyone's Legend","Jungle",24,"54%","46%",79,81,214,3.6,"76.7%","20.7%","21.8%",,,,,6.6,,527,"18.3%",,,239,"19.8%",,0.36,0.32,0.33
